,campaign_id,campaign_name,org_id,start_date,end_date,budget,clicks,impressions,conversions
32,3,Campaign_3,51,2014-05-08,2014-06-07,24974.23,5968,99419,142
33,4,Campaign_4,51,2014-06-11,2014-07-11,19033.53,2640,2539,466
34,5,Campaign_5,51,2014-10-06,2014-11-05,32867.3,570,93723,42
35,1,Campaign_1,51,2014-03-19,2014-04-18,42593.28,6019,36338,150
36,2,Campaign_2,51,2014-04-18,2014-05-18,22218.91,770,87442,369
37,3,Campaign_3,51,2014-09-08,2014-10-08,48601.2,8454,74587,43
38,4,Campaign_4,51,2014-02-26,2014-03-28,38120.11,180,15899,447
39,5,Campaign_5,51,2014-12-27,2015-01-26,5274.75,6923,49588,79
40,1,Campaign_1,68,2014-03-18,2014-04-17,3931.49,2737,38945,14
41,2,Campaign_2,68,2014-12-11,2015-01-10,23182.27,3588,97830,308
42,3,Campaign_3,68,2014-03-27,2014-04-26,1129.53,8736,46261,478
43,4,Campaign_4,68,2014-08-17,2014-09-16,26075.08,3755,1233,33
44,5,Campaign_5,68,2014-03-24,2014-04-23,4498.99,4691,70244,132
45,1,Campaign_1,49,2014-07-15,2014-08-14,15339.8,1550,88607,191
46,2,Campaign_2,49,2014-08-08,2014-09-07,25162.49,3004,14201,376
47,3,Campaign_3,49,2014-08-20,2014-09-19,38057.48,7506,57325,469
48,4,Campaign_4,49,2014-06-23,2014-07-23,10041.73,4215,3032,58
49,5,Campaign_5,49,2014-05-21,2014-06-20,2529.5,5840,45054,40
50,1,Campaign_1,43,2014-12-23,2015-01-22,3417.5,5201,75445,117
51,2,Campaign_2,43,2014-04-28,2014-05-28,22350.72,8826,37242,278
52,3,Campaign_3,43,2014-09-30,2014-10-30,25273.21,4457,33128,382
53,4,Campaign_4,43,2014-10-17,2014-11-16,12965.34,3254,49835,258
54,5,Campaign_5,43,2014-02-05,2014-03-07,47696.26,9986,82536,246
55,1,Campaign_1,335,2014-01-04,2014-02-03,34380.6,4901,85121,325
56,2,Campaign_2,335,2014-07-22,2014-08-21,5019.37,5704,30363,331
57,3,Campaign_3,335,2014-03-13,2014-04-12,40901.44,2750,4263,489
58,4,Campaign_4,335,2014-09-18,2014-10-18,43251.06,8717,5581,469
59,5,Campaign_5,335,2014-01-13,2014-02-12,33707.72,4141,2210,265
60,1,Campaign_1,25,2014-11-05,2014-12-05,34827.4,3657,62220,299
61,2,Campaign_2,25,2014-01-31,2014-03-02,39989.67,9191,69215,251
62,3,Campaign_3,25,2014-08-16,2014-09-15,11216.91,7415,98111,123
63,4,Campaign_4,25,2014-02-16,2014-03-18,17151.18,4015,62813,246
64,5,Campaign_5,25,2014-10-05,2014-11-04,13925.88,7139,47854,293
65,1,Campaign_1,370,2014-07-25,2014-08-24,19957.95,6357,84916,200
66,2,Campaign_2,370,2014-11-25,2014-12-25,19103.15,9145,60223,13
67,3,Campaign_3,370,2014-07-26,2014-08-25,46109.69,7744,10106,281
68,4,Campaign_4,370,2014-11-18,2014-12-18,30419.04,1416,6669,285
69,5,Campaign_5,370,2014-06-19,2014-07-19,26421.54,9977,50191,65
70,1,Campaign_1,134,2014-04-26,2014-05-26,49550.81,9447,18454,299
71,2,Campaign_2,134,2014-09-06,2014-10-06,15062.29,5037,37556,193
72,3,Campaign_3,134,2014-12-05,2015-01-04,6333.47,175,71538,396
73,4,Campaign_4,134,2014-02-09,2014-03-11,30154.21,7117,51242,235
74,5,Campaign_5,134,2014-06-27,2014-07-27,1426.72,6240,41913,327
75,1,Campaign_1,12,2014-05-10,2014-06-09,33672.88,4444,91954,437
76,2,Campaign_2,12,2014-07-16,2014-08-15,20123.67,8319,17479,198
77,3,Campaign_3,12,2014-07-20,2014-08-19,21595.96,3609,81578,138
78,4,Campaign_4,12,2014-11-08,2014-12-08,38319.51,310,18703,226
79,5,Campaign_5,12,2014-03-13,2014-04-12,29327.27,675,39336,301
80,1,Campaign_1,112,2014-03-29,2014-04-28,6331.5,5545,26897,279
81,2,Campaign_2,112,2014-09-06,2014-10-06,13375.14,9923,66087,347
82,3,Campaign_3,112,2014-12-16,2015-01-15,3040.27,2771,39465,124
83,4,Campaign_4,112,2014-07-19,2014-08-18,45065.81,4624,32696,467
84,5,Campaign_5,112,2014-06-21,2014-07-21,31102.89,1460,38066,61
85,1,Campaign_1,53,2014-05-18,2014-06-17,2640.35,2522,24661,325
86,2,Campaign_2,53,2014-09-08,2014-10-08,1608.17,9987,66622,394
87,3,Campaign_3,53,2014-08-23,2014-09-22,6804.98,4368,73021,270
88,4,Campaign_4,53,2014-08-14,2014-09-13,20475.78,9890,99982,176
89,5,Campaign_5,53,2014-05-02,2014-06-01,41594.26,2017,22681,488
90,1,Campaign_1,35,2014-06-18,2014-07-18,12773.25,4161,32408,158
91,2,Campaign_2,35,2014-05-20,2014-06-19,37028.73,3508,44333,418
92,3,Campaign_3,35,2014-01-31,2014-03-02,26059.88,1550,12912,183
93,4,Campaign_4,35,2014-01-27,2014-02-26,41830.36,1499,89466,419
94,5,Campaign_5,35,2014-08-18,2014-09-17,36365.2,3088,14457,102
95,1,Campaign_1,234,2014-07-18,2014-08-17,33922.57,9438,63901,430
96,2,Campaign_2,234,2014-11-28,2014-12-28,22336.64,1108,78922,55
97,3,Campaign_3,234,2014-11-13,2014-12-13,43452.56,3968,19879,41
98,4,Campaign_4,234,2014-07-14,2014-08-13,24415.61,8162,1961,193
99,5,Campaign_5,234,2014-01-06,2014-02-05,20548.52,1815,69567,484
100,1,Campaign_1,15,2014-04-12,2014-05-12,4032.72,7766,40683,398
101,2,Campaign_2,15,2014-11-24,2014-12-24,14096.69,5584,15734,416
102,3,Campaign_3,15,2014-03-02,2014-04-01,8366.12,9517,33827,372
103,4,Campaign_4,15,2014-05-15,2014-06-14,16264.98,3634,2403,230
104,5,Campaign_5,15,2014-02-25,2014-03-27,17113.92,1203,90354,124
105,1,Campaign_1,364,2014-12-19,2015-01-18,19236.88,9017,16625,151
106,2,Campaign_2,364,2014-12-01,2014-12-31,39621.94,3750,74611,24
107,3,Campaign_3,364,2014-04-09,2014-05-09,1449.72,586,62237,305
108,4,Campaign_4,364,2014-08-07,2014-09-06,24174.46,5544,68879,6
109,5,Campaign_5,364,2014-10-26,2014-11-25,37290.0,1511,4696,152
110,1,Campaign_1,134,2014-01-15,2014-02-14,29513.39,7207,87204,389
111,2,Campaign_2,134,2014-11-06,2014-12-06,16858.03,1247,21103,320
112,3,Campaign_3,134,2014-05-30,2014-06-29,39000.48,9604,20721,392
113,4,Campaign_4,134,2014-12-14,2015-01-13,18481.49,9352,2668,44
114,5,Campaign_5,134,2014-10-25,2014-11-24,44321.02,3577,53720,463
115,1,Campaign_1,151,2014-11-29,2014-12-29,3322.48,1828,68021,96
116,2,Campaign_2,151,2014-11-06,2014-12-06,33913.13,2806,30315,327
117,3,Campaign_3,151,2014-04-28,2014-05-28,7304.3,8979,98459,269
118,4,Campaign_4,151,2014-02-03,2014-03-05,3345.71,6871,8407,197
119,5,Campaign_5,151,2014-01-16,2014-02-15,47341.27,4511,83623,491
120,1,Campaign_1,252,2014-02-10,2014-03-12,24351.55,287,74540,484
121,2,Campaign_2,252,2014-05-19,2014-06-18,31737.83,1084,79796,94
122,3,Campaign_3,252,2014-10-07,2014-11-06,37149.21,7518,33091,481
123,4,Campaign_4,252,2014-04-24,2014-05-24,48380.11,8177,24257,215
124,5,Campaign_5,252,2014-05-18,2014-06-17,44746.31,2391,85220,34
125,1,Campaign_1,328,2014-07-07,2014-08-06,3308.73,9476,51263,53
126,2,Campaign_2,328,2014-06-30,2014-07-30,18358.27,9725,17225,210
127,3,Campaign_3,328,2014-09-12,2014-10-12,26977.58,4793,97336,220
128,4,Campaign_4,328,2014-01-14,2014-02-13,43001.94,1025,87360,284
129,5,Campaign_5,328,2014-08-25,2014-09-24,29145.61,4005,12200,150
130,1,Campaign_1,107,2014-04-07,2014-05-07,47690.62,814,82839,497
131,2,Campaign_2,107,2014-09-13,2014-10-13,30844.56,6954,44157,411
132,3,Campaign_3,107,2014-10-08,2014-11-07,26941.48,9119,5968,141
133,4,Campaign_4,107,2014-12-18,2015-01-17,17822.17,8991,51256,78
134,5,Campaign_5,107,2014-07-01,2014-07-31,28798.4,5769,84367,47
135,1,Campaign_1,263,2014-04-29,2014-05-29,36661.45,1112,56249,218
136,2,Campaign_2,263,2014-08-02,2014-09-01,35858.28,2087,9519,83
137,3,Campaign_3,263,2014-02-28,2014-03-30,45049.3,1647,18763,481
138,4,Campaign_4,263,2014-09-07,2014-10-07,31932.06,8638,1736,192
139,5,Campaign_5,263,2014-03-13,2014-04-12,32780.32,7149,27755,227
140,1,Campaign_1,13,2014-01-14,2014-02-13,16926.07,3439,4124,178
141,2,Campaign_2,13,2014-08-29,2014-09-28,816.1,7539,27321,65
142,3,Campaign_3,13,2014-07-01,2014-07-31,19757.32,8298,91227,149
143,4,Campaign_4,13,2014-02-27,2014-03-29,22651.61,5195,69217,257
144,5,Campaign_5,13,2014-06-28,2014-07-28,48847.21,4372,91597,475
145,1,Campaign_1,153,2014-05-08,2014-06-07,5481.5,5939,51358,468
146,2,Campaign_2,153,2014-01-02,2014-02-01,29474.22,2388,94661,400
147,3,Campaign_3,153,2014-09-03,2014-10-03,28650.66,6256,61398,104
148,4,Campaign_4,153,2014-02-07,2014-03-09,23431.38,4290,63381,275
149,5,Campaign_5,153,2014-06-21,2014-07-21,39972.52,9087,72131,500
150,1,Campaign_1,68,2014-11-04,2014-12-04,10698.75,3465,46480,180
151,2,Campaign_2,68,2014-08-20,2014-09-19,39766.4,1097,2825,47
152,3,Campaign_3,68,2014-09-17,2014-10-17,1391.58,3642,61895,187
153,4,Campaign_4,68,2014-02-18,2014-03-20,16621.13,1394,91794,153
154,5,Campaign_5,68,2014-03-26,2014-04-25,39335.78,2018,1810,455
155,1,Campaign_1,77,2014-10-06,2014-11-05,5706.43,9388,18577,44
156,2,Campaign_2,77,2014-01-20,2014-02-19,22369.77,4648,63314,406
157,3,Campaign_3,77,2014-06-08,2014-07-08,37800.16,888,79602,473
158,4,Campaign_4,77,2014-09-11,2014-10-11,9310.92,1548,7039,369
159,5,Campaign_5,77,2014-12-07,2015-01-06,34027.9,593,31825,205
160,1,Campaign_1,7,2014-03-13,2014-04-12,9051.57,1188,63942,448
161,2,Campaign_2,7,2014-07-13,2014-08-12,23284.51,2377,92882,51
162,3,Campaign_3,7,2014-12-04,2015-01-03,20807.01,4505,51714,124
163,4,Campaign_4,7,2014-01-04,2014-02-03,40752.68,4682,71169,344
164,5,Campaign_5,7,2014-06-09,2014-07-09,16094.44,3014,21327,260
165,1,Campaign_1,8,2014-07-29,2014-08-28,15254.14,2937,49823,173
166,2,Campaign_2,8,2014-11-14,2014-12-14,24682.06,580,3853,241
167,3,Campaign_3,8,2014-05-10,2014-06-09,48724.52,2233,35649,75
168,4,Campaign_4,8,2014-11-11,2014-12-11,26547.96,2171,7369,149
169,5,Campaign_5,8,2014-03-09,2014-04-08,49330.4,3605,51419,162
170,1,Campaign_1,159,2014-06-21,2014-07-21,34837.21,1973,51430,357
171,2,Campaign_2,159,2014-03-14,2014-04-13,8832.74,9946,57111,17
172,3,Campaign_3,159,2014-10-04,2014-11-03,33639.16,4005,60522,274
173,4,Campaign_4,159,2014-07-23,2014-08-22,22397.61,6552,36431,99
174,5,Campaign_5,159,2014-11-15,2014-12-15,29277.24,8096,28828,331
175,1,Campaign_1,75,2014-07-12,2014-08-11,5400.73,5348,29957,115
176,2,Campaign_2,75,2014-04-26,2014-05-26,7068.24,4614,7692,382
177,3,Campaign_3,75,2014-07-21,2014-08-20,20290.47,4515,59885,444
178,4,Campaign_4,75,2014-09-02,2014-10-02,46992.11,6118,9150,399
179,5,Campaign_5,75,2014-03-05,2014-04-04,19392.63,1195,84606,0
180,1,Campaign_1,278,2014-06-07,2014-07-07,46023.58,7033,34296,234
181,2,Campaign_2,278,2014-12-11,2015-01-10,23953.48,3022,79034,76
182,3,Campaign_3,278,2014-10-24,2014-11-23,20679.65,7937,73715,140
183,4,Campaign_4,278,2014-05-10,2014-06-09,10041.18,5772,15621,346
184,5,Campaign_5,278,2014-06-15,2014-07-15,15151.47,7097,38777,126
185,1,Campaign_1,292,2014-12-08,2015-01-07,40767.6,5356,43018,266
186,2,Campaign_2,292,2014-08-26,2014-09-25,13526.56,1668,69919,346
187,3,Campaign_3,292,2014-07-18,2014-08-17,11703.7,3603,6779,14
188,4,Campaign_4,292,2014-05-04,2014-06-03,29235.82,2232,81689,201
189,5,Campaign_5,292,2014-07-01,2014-07-31,22923.77,268,59205,138
190,1,Campaign_1,185,2014-09-29,2014-10-29,6319.19,2444,4884,418
191,2,Campaign_2,185,2014-03-30,2014-04-29,13864.8,6509,44708,314
192,3,Campaign_3,185,2014-09-07,2014-10-07,6011.41,4670,83174,465
193,4,Campaign_4,185,2014-05-15,2014-06-14,21321.88,6882,99085,84
194,5,Campaign_5,185,2014-06-24,2014-07-24,25180.48,8338,96722,392
195,1,Campaign_1,3,2014-11-03,2014-12-03,11386.81,1430,94722,93
196,2,Campaign_2,3,2014-02-06,2014-03-08,32536.76,5860,29136,436
197,3,Campaign_3,3,2014-08-22,2014-09-21,45720.71,5092,79035,31
198,4,Campaign_4,3,2014-11-09,2014-12-09,49504.22,9812,68705,384
199,5,Campaign_5,3,2014-03-19,2014-04-18,11266.21,3148,40378,431
200,1,Campaign_1,3,2014-04-12,2014-05-12,40407.2,2082,21959,404
201,2,Campaign_2,3,2014-03-27,2014-04-26,43872.85,1898,27070,252
202,3,Campaign_3,3,2014-01-23,2014-02-22,47091.2,6804,63385,316
203,4,Campaign_4,3,2014-06-25,2014-07-25,40475.57,2240,57111,104
204,5,Campaign_5,3,2014-01-08,2014-02-07,13745.28,2303,4614,458
205,1,Campaign_1,398,2014-12-10,2015-01-09,43551.2,9976,11288,57
206,2,Campaign_2,398,2014-11-16,2014-12-16,45269.14,8628,69240,20
207,3,Campaign_3,398,2014-12-30,2015-01-29,6190.76,4673,42707,338
208,4,Campaign_4,398,2014-05-27,2014-06-26,12457.21,8292,68609,308
209,5,Campaign_5,398,2014-11-24,2014-12-24,15599.98,3864,21089,363
210,1,Campaign_1,142,2014-09-24,2014-10-24,2948.29,4275,61829,178
211,2,Campaign_2,142,2014-02-06,2014-03-08,45626.53,5627,36354,336
212,3,Campaign_3,142,2014-11-17,2014-12-17,7133.81,3780,69169,149
213,4,Campaign_4,142,2014-10-16,2014-11-15,35194.15,3103,29683,1
214,5,Campaign_5,142,2014-10-20,2014-11-19,46382.26,1760,70009,372
215,1,Campaign_1,135,2014-06-13,2014-07-13,38545.54,2632,41829,64
216,2,Campaign_2,135,2014-08-18,2014-09-17,32048.64,8721,97296,167
217,3,Campaign_3,135,2014-12-22,2015-01-21,17006.28,2321,95907,430
218,4,Campaign_4,135,2014-03-31,2014-04-30,25446.12,5677,20719,414
219,5,Campaign_5,135,2014-09-11,2014-10-11,19271.84,5290,53323,346
220,1,Campaign_1,0,2014-04-15,2014-05-15,19495.18,8580,51371,231
221,2,Campaign_2,0,2014-01-15,2014-02-14,12174.02,1573,90387,97
222,3,Campaign_3,0,2014-09-06,2014-10-06,20114.59,3708,32528,21
223,4,Campaign_4,0,2014-08-26,2014-09-25,15916.81,1969,85630,175
224,5,Campaign_5,0,2014-03-21,2014-04-20,37792.93,7113,62555,104
225,1,Campaign_1,2,2014-12-25,2015-01-24,16780.96,6251,19482,166
226,2,Campaign_2,2,2014-03-24,2014-04-23,23828.42,5755,58828,303
227,3,Campaign_3,2,2014-11-19,2014-12-19,37847.0,7824,89217,91
228,4,Campaign_4,2,2014-12-10,2015-01-09,7288.63,8296,80485,217
229,5,Campaign_5,2,2014-07-07,2014-08-06,24860.08,117,20457,198
230,1,Campaign_1,311,2014-05-26,2014-06-25,4836.26,1655,74136,333
231,2,Campaign_2,311,2014-03-02,2014-04-01,14400.38,5700,47613,229
232,3,Campaign_3,311,2014-06-30,2014-07-30,7350.37,8714,98561,318
233,4,Campaign_4,311,2014-05-30,2014-06-29,1261.87,7406,98678,192
234,5,Campaign_5,311,2014-02-13,2014-03-15,13901.44,3181,62576,443
235,1,Campaign_1,340,2014-11-02,2014-12-02,4848.24,8271,17308,495
236,2,Campaign_2,340,2014-12-03,2015-01-02,24624.92,3083,46407,233
237,3,Campaign_3,340,2014-03-07,2014-04-06,32464.02,4328,95015,214
238,4,Campaign_4,340,2014-06-04,2014-07-04,33252.88,1346,11300,283
239,5,Campaign_5,340,2014-06-30,2014-07-30,47561.06,4381,7733,350
240,1,Campaign_1,110,2014-03-27,2014-04-26,38440.64,5758,84062,481
241,2,Campaign_2,110,2014-12-11,2015-01-10,20388.48,3083,77626,266
242,3,Campaign_3,110,2014-08-03,2014-09-02,43384.83,6291,45985,302
243,4,Campaign_4,110,2014-03-31,2014-04-30,23291.87,1698,58081,495
244,5,Campaign_5,110,2014-10-20,2014-11-19,28223.07,1648,83575,360
245,1,Campaign_1,380,2014-04-25,2014-05-25,37921.58,3797,42123,296
246,2,Campaign_2,380,2014-12-25,2015-01-24,43161.34,7357,67307,99
247,3,Campaign_3,380,2014-08-17,2014-09-16,13589.29,7691,24763,400
248,4,Campaign_4,380,2014-07-05,2014-08-04,12792.63,4228,29204,121
249,5,Campaign_5,380,2014-10-12,2014-11-11,3289.51,5346,15086,185
250,1,Campaign_1,148,2014-03-07,2014-04-06,19245.47,6510,4971,161
251,2,Campaign_2,148,2014-09-17,2014-10-17,28464.28,5742,37195,152
252,3,Campaign_3,148,2014-09-13,2014-10-13,47317.59,7103,80355,265
253,4,Campaign_4,148,2014-07-21,2014-08-20,42581.83,7940,22994,67
254,5,Campaign_5,148,2014-09-29,2014-10-29,5928.19,7219,13385,448
255,1,Campaign_1,89,2014-03-30,2014-04-29,20098.2,2702,70825,229
256,2,Campaign_2,89,2014-08-10,2014-09-09,26128.28,3882,77618,355
257,3,Campaign_3,89,2014-09-23,2014-10-23,17655.4,6240,68994,140
258,4,Campaign_4,89,2014-02-06,2014-03-08,3308.41,1775,72518,389
259,5,Campaign_5,89,2014-11-12,2014-12-12,7122.92,9231,84789,364
260,1,Campaign_1,336,2014-03-15,2014-04-14,20062.36,4964,51442,87
261,2,Campaign_2,336,2014-04-27,2014-05-27,8168.69,9372,92947,245
262,3,Campaign_3,336,2014-05-17,2014-06-16,11581.47,3339,83871,19
263,4,Campaign_4,336,2014-09-15,2014-10-15,29058.35,2510,10860,310
264,5,Campaign_5,336,2014-01-16,2014-02-15,41815.72,4227,51901,339
265,1,Campaign_1,7,2014-04-09,2014-05-09,16437.52,9929,61940,261
266,2,Campaign_2,7,2014-07-01,2014-07-31,28798.59,9486,79707,294
267,3,Campaign_3,7,2014-12-20,2015-01-19,42868.57,9172,15510,86
268,4,Campaign_4,7,2014-10-11,2014-11-10,44259.81,4733,39277,105
269,5,Campaign_5,7,2014-12-20,2015-01-19,16196.88,7939,68412,175
270,1,Campaign_1,165,2014-09-13,2014-10-13,20613.78,7016,40214,122
271,2,Campaign_2,165,2014-04-22,2014-05-22,23935.18,3418,41538,484
272,3,Campaign_3,165,2014-04-17,2014-05-17,43815.14,6789,39083,247
273,4,Campaign_4,165,2014-09-13,2014-10-13,13291.1,2689,4131,109
274,5,Campaign_5,165,2014-05-30,2014-06-29,5462.63,7235,45569,243
275,1,Campaign_1,185,2014-01-15,2014-02-14,44125.35,2534,26103,62
276,2,Campaign_2,185,2014-11-24,2014-12-24,15177.65,6865,64004,377
277,3,Campaign_3,185,2014-01-14,2014-02-13,45342.81,8009,60827,152
278,4,Campaign_4,185,2014-01-02,2014-02-01,13779.67,7780,64019,69
279,5,Campaign_5,185,2014-12-19,2015-01-18,34866.57,8650,43720,141
280,1,Campaign_1,0,2014-05-18,2014-06-17,9503.2,2972,43589,177
281,2,Campaign_2,0,2014-04-21,2014-05-21,5405.72,3125,42239,343
282,3,Campaign_3,0,2014-02-09,2014-03-11,46354.53,3541,63271,237
283,4,Campaign_4,0,2014-12-03,2015-01-02,24065.14,4008,19101,285
284,5,Campaign_5,0,2014-06-18,2014-07-18,11501.89,1441,28562,326
285,1,Campaign_1,192,2014-06-21,2014-07-21,2890.32,9560,42055,267
286,2,Campaign_2,192,2014-09-10,2014-10-10,37862.83,9079,46646,272
287,3,Campaign_3,192,2014-04-14,2014-05-14,40682.43,3391,92334,477
288,4,Campaign_4,192,2014-04-14,2014-05-14,46701.78,3924,53304,47
289,5,Campaign_5,192,2014-05-28,2014-06-27,17372.74,7290,51403,248
290,1,Campaign_1,164,2014-03-05,2014-04-04,22353.16,6865,57609,298
291,2,Campaign_2,164,2014-10-11,2014-11-10,12764.9,4750,31158,346
292,3,Campaign_3,164,2014-04-15,2014-05-15,3040.91,8597,87201,496
293,4,Campaign_4,164,2014-10-19,2014-11-18,20457.94,8983,26693,302
294,5,Campaign_5,164,2014-07-28,2014-08-27,26628.25,1106,60576,316
295,1,Campaign_1,235,2014-12-10,2015-01-09,20376.76,5131,94481,385
296,2,Campaign_2,235,2014-06-14,2014-07-14,8982.44,7038,5948,496
297,3,Campaign_3,235,2014-02-25,2014-03-27,33241.18,1313,21201,317
298,4,Campaign_4,235,2014-07-23,2014-08-22,7493.78,9984,80704,396
299,5,Campaign_5,235,2014-09-01,2014-10-01,40423.46,5841,99996,272
300,1,Campaign_1,143,2014-06-01,2014-07-01,11757.72,7702,79596,20
301,2,Campaign_2,143,2014-07-12,2014-08-11,18362.31,2160,92320,91
302,3,Campaign_3,143,2014-11-24,2014-12-24,37408.54,836,45860,84
303,4,Campaign_4,143,2014-01-10,2014-02-09,10233.06,5710,76853,222
304,5,Campaign_5,143,2014-09-14,2014-10-14,43523.97,5115,73120,48
305,1,Campaign_1,9,2014-10-10,2014-11-09,47553.47,9748,9927,139
306,2,Campaign_2,9,2014-03-26,2014-04-25,15008.28,8667,30985,369
307,3,Campaign_3,9,2014-12-15,2015-01-14,37336.07,4243,50198,147
308,4,Campaign_4,9,2014-11-25,2014-12-25,4521.71,1903,37095,49
309,5,Campaign_5,9,2014-08-29,2014-09-28,40604.26,4986,43175,33
310,1,Campaign_1,200,2014-01-26,2014-02-25,47224.06,2011,69354,167
311,2,Campaign_2,200,2014-09-25,2014-10-25,16880.98,8741,54636,235
312,3,Campaign_3,200,2014-03-11,2014-04-10,37300.37,4745,98061,380
313,4,Campaign_4,200,2014-11-15,2014-12-15,20883.6,5718,47535,211
314,5,Campaign_5,200,2014-07-23,2014-08-22,45725.85,2752,96157,372
315,1,Campaign_1,162,2014-01-18,2014-02-17,18583.46,3649,45511,152
316,2,Campaign_2,162,2014-01-12,2014-02-11,8511.45,774,28028,309
317,3,Campaign_3,162,2014-11-09,2014-12-09,18554.79,1603,27686,134
318,4,Campaign_4,162,2014-08-22,2014-09-21,31698.83,6683,30010,307
319,5,Campaign_5,162,2014-05-16,2014-06-15,19753.26,8991,60881,458
320,1,Campaign_1,381,2014-10-21,2014-11-20,33079.05,6849,31487,471
321,2,Campaign_2,381,2014-11-30,2014-12-30,31553.95,2615,16910,173
322,3,Campaign_3,381,2014-07-15,2014-08-14,23177.81,2336,91566,439
323,4,Campaign_4,381,2014-07-22,2014-08-21,28708.44,8118,91888,230
324,5,Campaign_5,381,2014-08-01,2014-08-31,1430.53,7419,94246,391
325,1,Campaign_1,320,2014-05-18,2014-06-17,4867.23,2110,16371,168
326,2,Campaign_2,320,2014-06-07,2014-07-07,45213.75,6839,17271,331
327,3,Campaign_3,320,2014-07-22,2014-08-21,32366.21,3082,83200,210
328,4,Campaign_4,320,2014-02-04,2014-03-06,27938.87,5899,77407,302
329,5,Campaign_5,320,2014-05-09,2014-06-08,40250.85,9510,93542,224
330,1,Campaign_1,13,2014-10-03,2014-11-02,28330.55,937,44403,24
331,2,Campaign_2,13,2014-04-17,2014-05-17,4069.71,3664,99241,99
332,3,Campaign_3,13,2014-06-15,2014-07-15,4353.64,2618,25394,14
333,4,Campaign_4,13,2014-11-04,2014-12-04,3021.71,3286,59456,288
334,5,Campaign_5,13,2014-12-05,2015-01-04,48379.95,3059,76671,453
335,1,Campaign_1,366,2014-04-24,2014-05-24,21597.52,2013,34830,449
336,2,Campaign_2,366,2014-01-09,2014-02-08,44828.65,5562,82273,453
337,3,Campaign_3,366,2014-08-02,2014-09-01,46624.65,5619,91528,151
338,4,Campaign_4,366,2014-08-19,2014-09-18,17823.99,8725,18949,290
339,5,Campaign_5,366,2014-02-19,2014-03-21,19350.94,2054,92652,196
340,1,Campaign_1,262,2014-02-21,2014-03-23,45866.4,6721,56840,229
341,2,Campaign_2,262,2014-04-30,2014-05-30,1278.26,984,45778,300
342,3,Campaign_3,262,2014-10-23,2014-11-22,47580.76,2926,66234,486
343,4,Campaign_4,262,2014-11-03,2014-12-03,44582.72,724,58317,396
344,5,Campaign_5,262,2014-10-17,2014-11-16,14998.16,9422,95061,141
345,1,Campaign_1,143,2014-12-03,2015-01-02,10293.74,6012,80482,127
346,2,Campaign_2,143,2014-05-22,2014-06-21,13548.46,1081,35288,489
347,3,Campaign_3,143,2014-01-08,2014-02-07,20536.17,8813,75930,351
